Pais,Salario Medio,Cerveza,Big Mac
Albania,"451,32","1,95","5,85"
Alemania,"2.968,98","4,00","9,00"
Andorra,"2.749,05","2,00","8,00"
Armenia,"556,7","1,54","6,44"
Austria,"2.639,09","4,00","8,50"
Bielorrusia,"501,92","1,19","5,15"
Bosnia y Herzegovina,"674,76","1,67","4,44"
Bulgaria,"782,07","1,96","6,70"
Bélgica,"2.639,09","4,00","9,00"
Chipre,"1.429,51","3,00","7,00"
Croacia,"1.054,39","2,62","7,00"
Dinamarca,"3.469,68","7,32","12,44"
Eslovaquia,"1.066,63","1,80","7,00"
Eslovenia,"1.319,55","2,80","6,50"
España,"1.869,36","2,50","8,00"
Estonia,"1.429,51","4,50","7,00"
Finlandia,"2.859,02","7,00","9,00"
Francia,"2.529,13","6,00","10,00"
Georgia,"475,24","1,54","7,84"
Grecia,"901,69","4,00","7,00"
Hungría,"926,62","1,74","5,81"
Irlanda,"2.968,98","5,50","9,00"
Islandia,"4.042,82","8,74","14,57"
Italia,"1.759,39","5,00","8,00"
Letonia,"1.033,64","3,00","6,00"
Lituania,"1.190,3","4,40","6,61"
Luxemburgo,"4.948,3","5,00","10,00"
Macedonia,null,null,null
Malta,"1.429,51","3,00","9,00"
Moldavia,"438,28","1,38","5,49"
Montenegro,"692,76","2,20","5,00"
Mónaco,"5.718,03","7,00","10,00"
Noruega,"3.315,85","9,15","11,43"
Países Bajos,"3.408,83","5,00","9,00"
Polonia,"1.095,88","2,80","6,06"
Portugal,"1.088,63","2,00","7,00"
Reino Unido,"2.856,83","5,09","7,45"
República Checa,"1.608,9","2,10","7,72"
Rumania,"774,13","1,77","5,53"
Rusia,"575,81","1,85","4,93"
Serbia,"596,11","1,86","7,40"
Suecia,"2.664,17","6,68","8,59"
Suiza,"6.073,57","7,18","16,56"
Turquía,"415,62","2,08","4,68"
Ucrania,"386,2","0,96","4,08"
