Pais,Salario Medio,Refresco,Cerveza,Big Mac,Billete transporte,Inicio Taxi,Taxi 1Km
Albania,"451,32","1,29","1,77","5,32","0,35","2,66","2,66"
Alemania,"2.968,98","2,57","4,00","9,00","2,90","3,50","2,00"
Andorra,"2.749,05","1,88","2,00","8,00","1,88","2,65","1,87"
Armenia,"556,7","0,94","1,40","5,85","0,23","1,40","0,23"
Austria,"2.639,09","2,76","4,00","8,50","2,50","5,00","1,80"
Bielorrusia,"501,92","0,71","1,08","4,68","0,31","1,26","0,19"
Bosnia y Herzegovina,"674,76","1,33","1,52","4,04","0,91","1,02","0,76"
Bulgaria,"782,07","1,13","1,78","6,10","0,81","1,02","0,53"
Bélgica,"2.639,09","2,48","4,00","9,00","2,50","5,00","2,00"
Chipre,"1.429,51","1,59","3,00","7,00","1,50","5,00","1,30"
Croacia,"1.054,39","2,09","2,38","6,36","1,33","2,64","0,80"
Dinamarca,"3.469,68","3,17","6,66","11,32","3,20","6,66","2,00"
Eslovaquia,"1.066,63","1,54","1,80","7,00","0,90","3,00","1,00"
Eslovenia,"1.319,55","2,19","2,80","6,50","1,30","1,95","1,00"
España,"1.869,36","1,88","2,50","8,00","1,50","3,50","1,10"
Estonia,"1.429,51","1,89","4,50","7,00","1,50","2,60","0,80"
Finlandia,"2.859,02","2,41","7,00","9,00","3,10","6,90","1,55"
Francia,"2.529,13","2,63","6,00","10,00","1,70","2,75","1,82"
Georgia,"475,24","0,75","1,40","7,13","0,36","1,40","0,71"
Grecia,"901,69","1,77","4,00","7,00","1,20","3,50","1,00"
Hungría,"926,62","1,11","1,58","5,28","0,92","2,64","1,06"
Irlanda,"2.968,98","1,97","5,50","9,00","2,30","4,20","1,50"
Islandia,"4.042,82","2,38","7,95","13,25","3,31","4,84","2,58"
Italia,"1.759,39","2,29","5,00","8,00","1,50","5,00","1,30"
Letonia,"1.033,64","1,17","3,00","6,00","1,20","2,00","0,70"
Lituania,"1.190,3","1,92","4,00","6,01","0,95","2,00","0,71"
Luxemburgo,"4.948,3","2,74","5,00","10,00","0,00","4,30","3,00"
Macedonia,null,null,null,null,null,null,null
Malta,"1.429,51","1,91","3,00","9,00","1,50","5,00","2,00"
Moldavia,"438,28","0,71","1,25","4,99","0,30","1,50","0,25"
Montenegro,"692,76","1,86","2,20","5,00","1,00","1,00","0,80"
Mónaco,"5.718,03","4,80","7,00","10,00","2,00","3,00","1,70"
Noruega,"3.315,85","2,69","8,32","10,40","3,47","8,67","1,30"
Países Bajos,"3.408,83","2,53","5,00","9,00","3,40","3,60","2,40"
Polonia,"1.095,88","1,25","2,54","5,51","0,85","1,70","0,64"
Portugal,"1.088,63","1,43","2,00","7,00","1,70","3,50","0,80"
Reino Unido,"2.856,83","1,68","4,63","6,78","2,82","3,39","1,40"
República Checa,"1.608,9","1,48","1,91","7,02","1,06","1,85","1,23"
Rumania,"774,13","1,37","1,61","5,03","0,60","0,60","0,60"
Rusia,"575,81","0,78","1,68","4,49","0,36","1,35","0,22"
Serbia,"596,11","1,30","1,69","6,73","0,75","1,61","0,68"
Suecia,"2.664,17","1,76","6,08","7,82","3,04","5,12","1,74"
Suiza,"6.073,57","4,22","6,53","15,06","3,62","6,53","3,92"
Turquía,"415,62","0,67","1,89","4,25","0,38","0,57","0,43"
Ucrania,"386,2","0,52","0,87","3,71","0,25","1,24","0,25"
